"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SMBK","SmartFinancial, Inc.","21.65","171002351.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/smbk",
"SMSI","Smith Micro Software, Inc.","1.32","16268229.12","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/smsi",
"SMTX","SMTC Corporation","1.4699","24268313.582","n/a","2000","Technology","Electrical Products","http://www.nasdaq.com/symbol/smtx",
"LNCE","Snyder&#39;s-Lance, Inc.","39","3753468576","n/a","n/a","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/lnce",
"SRAX","Social Reality, Inc.","2.8","21859152","n/a","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/srax",
"SCKT","Socket Mobile, Inc.","4.08","23927180.4","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/sckt",
"SODA","SodaStream International Ltd.","47.14","994848075.38","n/a","2010","Consumer Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/soda",
"SOHU","Sohu.com Inc.","39.35","1524139260.85","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/sohu",
"SLRC","Solar Capital Ltd.","22.13","934959858.25","n/a","2010","n/a","n/a","http://www.nasdaq.com/symbol/slrc",
"SUNS","Solar Senior Capital Ltd.","17.34","277873690.74","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/suns",
"SEDG","SolarEdge Technologies, Inc.","14.85","609788430.9","n/a","2015","Technology","Semiconductors","http://www.nasdaq.com/symbol/sedg",
"SNGX","Soligenix, Inc.","2.26","12285482.04","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sngx",
"SNGXW","Soligenix, Inc.","0.4","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/sngxw",
"SONC","Sonic Corp.","26.59","1168222609.4","n/a","1991","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/sonc",
"SOFO","Sonic Foundry, Inc.","4.7712","21071637.4176","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sofo",
"SNOA","Sonoma Pharmaceuticals, Inc.","6.85","29165614.9","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/snoa",
"SNOAW","Sonoma Pharmaceuticals, Inc.","0.5","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/snoaw",
"SONS","Sonus Networks, Inc.","6.025","297857473.125","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/sons",
"SPHS","Sophiris Bio, Inc.","2.76","83097097.44","n/a","2013","n/a","n/a","http://www.nasdaq.com/symbol/sphs",
"SORL","SORL Auto Parts, Inc.","2.8","54053778.8","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/sorl",
